Line	Spkr	StTime	Content	EnTime
1	DTA_int_04	0.6244	Uh, what kind of games do you usually play around here?	2.9501
2	DTA_se2_ag1_f_01	3.8838	Sometimes we play tag	5.9684
3	DTA_se2_ag1_f_01	5.9684	(pause 0.51)	6.4780
4	DTA_se2_ag1_f_01	6.4780	or frozen tag.	7.8578
5	DTA_se2_ag1_f_01	7.8578	(pause 2.32)	10.1828
6	DTA_se2_ag1_f_01	10.1828	Or we'll go to the playground and swing.	12.7404
7	DTA_int_04	12.8929	Mm-hm.	13.4292
8	DTA_int_04	13.4292	(pause 0.53)	13.9585
9	DTA_int_04	13.9585	Uh, how do you play frozen tag?	15.4519
10	DTA_se2_ag1_f_01	16.4093	When somebody taps you,	17.9806
11	DTA_se2_ag1_f_01	17.9806	(pause 0.27)	18.2522
12	DTA_se2_ag1_f_01	18.2522	you supposed to stand still, then another person	21.0142
13	DTA_se2_ag1_f_01	21.0142	(pause 0.32)	21.3315
14	DTA_se2_ag1_f_01	21.3315	will run past and they will unfroze you.	23.8342
15	DTA_se2_ag1_f_01	23.8342	(pause 0.25)	24.0844
16	DTA_se2_ag1_f_01	24.0844	And then you can r- you can start back running again.	27.1149
17	DTA_int_04	27.2430	Mm-hm.	27.5623
18	DTA_int_04	27.5623	(pause 0.41)	27.9753
19	DTA_int_04	27.9753	Any other games you play like that?	29.5932
20	DTA_se2_ag1_f_01	30.8319	No.	31.2385
21	DTA_int_04	32.7457	Do you ever play any games where you go and hide and somebody goes looking for you?	35.8013
22	DTA_se2_ag1_f_01	36.0813	[Yes.]	36.7954
23	DTA_int_04	36.6092	[Yeah.] How do you play that?	37.4826
24	DTA_se2_ag1_f_01	37.9951	Hide and go seek.	38.9440
25	DTA_se2_ag1_f_01	38.9440	(pause 1.18)	40.1243
26	DTA_se2_ag1_f_01	40.1243	See first-	41.0669
27	DTA_se2_ag1_f_01	41.0669	(pause 0.67)	41.7335
28	DTA_se2_ag1_f_01	41.7335	one person hides his eyes	44.0318
29	DTA_se2_ag1_f_01	44.0318	(pause 0.27)	44.3002
30	DTA_se2_ag1_f_01	44.3002	and-	44.5626
31	DTA_se2_ag1_f_01	44.5626	(pause 0.47)	45.0356
32	DTA_se2_ag1_f_01	45.0356	and then,	45.9600
33	DTA_se2_ag1_f_01	45.9600	(pause 2.33)	48.2949
34	DTA_se2_ag1_f_01	48.2949	um,	48.7892
35	DTA_se2_ag1_f_01	48.7892	(pause 0.48)	49.2720
36	DTA_se2_ag1_f_01	49.2720	let's see. One person hides his eyes and the other	51.8899
