Line	Spkr	StTime	Content	EnTime
1	DCA_int_02	0.2880	Okay.	0.8009
2	DCA_int_02	0.8009	(pause 0.95)	1.7475
3	DCA_int_02	1.7475	Okay you were- uh- when you were younger, what kinds of games did you play?	5.3274
4	DCA_int_02	5.3274	(pause 0.19)	5.5186
5	DCA_int_02	5.5186	Like around the neighborhood.	6.8102
6	DCA_int_02	6.8102	(pause 0.49)	7.2998
7	DCA_int_02	7.2998	Can you remember any of those?	8.6463
8	DCA_se2_ag1_m_06	8.7628	Uh, I guess just the usual ones.	10.3156
9	DCA_se2_ag1_m_06	10.3156	(pause 0.26)	10.5767
10	DCA_se2_ag1_m_06	10.5767	Baseball and football and basketball.	12.1574
11	DCA_int_02	12.5584	Uh-huh.	12.8755
12	DCA_se2_ag1_m_06	12.8429	Things of that	13.2299
13	DCA_se2_ag1_m_06	13.3325	nature.	13.6822
14	DCA_int_02	14.3758	How did you uh-	15.3644
15	DCA_int_02	15.3644	(pause 0.94)	16.3063
16	DCA_int_02	16.3063	How about uh, Hopscotch or any of those? You ever play those?	18.9595
17	DCA_se2_ag1_m_06	18.9781	Yes, I played Hopscotch.	19.9060
18	DCA_int_02	20.2313	How do you play that? Do you remember?	21.7001
19	DCA_se2_ag1_m_06	22.0032	<laugh>	22.5814
20	DCA_se2_ag1_m_06	22.5814	(pause 0.11)	22.6886
21	DCA_se2_ag1_m_06	22.6886	You just uh (laughing)	23.5279
22	DCA_se2_ag1_m_06	23.5279	(pause 0.80)	24.3300
23	DCA_se2_ag1_m_06	24.3300	take some chalk and you draw on the sidewalk uh,	26.3572
24	DCA_se2_ag1_m_06	26.3572	(pause 0.17)	26.5297
25	DCA_se2_ag1_m_06	26.5297	squares and	27.3037
26	DCA_se2_ag1_m_06	27.3037	(pause 0.66)	27.9612
27	DCA_se2_ag1_m_06	27.9612	uh,	28.2643
28	DCA_se2_ag1_m_06	28.2643	(pause 1.56)	29.8264
29	DCA_se2_ag1_m_06	29.8264	uh, various numbers and things like that.	31.2439
30	DCA_int_02	31.5796	Uh-huh.	31.9666
31	DCA_int_02	31.9666	(pause 0.85)	32.8188
32	DCA_int_02	32.8188	How about uh,	33.5416
33	DCA_int_02	33.5416	(pause 0.69)	34.2317
